Folder,segment_id,speaker,speaker_segment_id,start_time,end_time,duration,video_file,audio_file,transcript,Emotion Audio (final),Text Emotion (final),Video Emotion (final),Final Overall (majority of modalities),Audio Clarity (final),Speaker Gender (any),Speaker Identity (any)
videoplayback (10),5,SPEAKER_01,2,127.2178438,155.7197188,28.501875,videos/SPEAKER_01/SPEAKER_01_segment_0002.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0002.wav,في كتير مش راحبص انا ايه يعني ما بحبش اه يعني اغوص في كتير لانه عشان الناس ما تفتكرش ان ممكن حدثة هي اللي لازم ترجعك الحدثة مش هي اللي رجعتني اللي رجعتني ان انا كانت فترة اللي هي البحث عن الزاد دي ان كنت الغرور بيركب الشباب احيانا فكان عندي شبه غرور ايه ان كل حاجة انا اللي بعملها والنجاح ده كله ايه مجهوداتي مجهوداتي,,Sadness,Sadness,Sadness,Clear,Male,
videoplayback (10),6,SPEAKER_01,3,156.7659688,187.6472188,30.88125,videos/SPEAKER_01/SPEAKER_01_segment_0003.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0003.wav,كان عندي احساس بان البلد ما عاودتنيش بعد ما خرجت من الحرب ودتني مثلا فرصة زي الزمال اللي ما دخلوش الجيش محدش واقف جنبي خالص فانت اللي بتعمل ده بنفسك فكانت لحظة الغرور دي خلت اتجاه اتجاهات بقى ايه اكبر شوية في التفكير الاتجاه للتفكير العلمي والارتباط بالعلم وما فيش حاجة تثبت يبقى اسدق ليه وما فيش حاجة تتاخد كده وخلاص فترة تمرد كده,,Anger,Sadness,Anger,Clear,Male,
videoplayback (10),8,SPEAKER_01,5,226.3753438,240.9722188,14.596875,videos/SPEAKER_01/SPEAKER_01_segment_0005.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0005.wav,من نوع ده من التفكير خلّى ناس تانية تتجق للإلحاد إلا إن المادة لا تفنى ولا تخلق من عدم طب يعني إيه الإنسان يجي كده من لا شيء لازم حاجة هي العملية وليها الجاوية فهي مش وراء التفكير العلمي ده,,,Anger,Anger,Clear,Male,
videoplayback (10),9,SPEAKER_01,6,242.9634688,251.3503438,8.386875,videos/SPEAKER_01/SPEAKER_01_segment_0006.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0006.wav,ده لأن حتة الإيمان قلت أو التركيز عليها أو إزاي إحنا نبقى عايشين الدين جوانا,,Sadness,,Sadness,Clear,Male,
videoplayback (100),0,SPEAKER_01,0,179.2265938,183.1584688,3.931875,videos/SPEAKER_01/SPEAKER_01_segment_0000.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0000.wav,مش زعلان من حاجة ده هي اللي ماما على طول زعلانة ومتعصبة على أي حاجة,Sadness,Sadness,Sadness,Sadness,Clear,Male,
videoplayback (100),1,SPEAKER_00,0,185.6222188,192.8109688,7.18875,videos/SPEAKER_00/SPEAKER_00_segment_0000.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0000.wav,انت مبقتش عيل صغير ومش فاهم كل اللي بيحصل حواليه انا بتكلم معاك بحس ان انا بتكلم مع راجل كبير فاهم زي وزي كده,,Happiness,,Happiness,Clear,Male,
videoplayback (100),2,SPEAKER_00,1,200.8772188,210.2259688,9.34875,videos/SPEAKER_00/SPEAKER_00_segment_0001.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0001.wav,بيقولك إيه ابوك لسه حاسه بالدنيا هو  مببقاش موجود طول الوقت لكن لسه موجود مفروض بقى الوقت اللي هو مش موجود فيه تبقى أنت راجل البيت صح ولا مش صح؟,,Sadness,,Sadness,Clear,Male,
videoplayback (100),3,SPEAKER_00,2,222.7640938,226.5272188,3.763125,videos/SPEAKER_00/SPEAKER_00_segment_0002.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0002.wav,شكلك زعلان منه يعني جامد مجربتش تتكلم معاه,Sadness,Sadness,Sadness,Sadness,Clear,Male,
videoplayback (100),4,SPEAKER_00,3,231.9103438,237.7322188,5.821875,videos/SPEAKER_00/SPEAKER_00_segment_0003.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0003.wav,بقولك ايه محدش هيسيبك في حالك ولا ايوك ولا امك ولا انا علشان كلنا بنحبك حب قوي كمان,Happiness,Happiness,Happiness,Happiness,Clear,Male,
videoplayback (100),5,SPEAKER_00,4,244.0603438,250.2028438,6.1425,videos/SPEAKER_00/SPEAKER_00_segment_0004.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0004.wav,وانا خد بالك من حاجة وامتنع من داية والحملة عليها تقيد موجيش انت كمان تتأكل عليها الهم,Sadness,,Sadness,Sadness,Clear,Male,
videoplayback (101),0,SPEAKER_01,0,54.97596875,58.48596875,3.51,videos/SPEAKER_01/SPEAKER_01_segment_0000.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0000.wav,يعني؟ أنتي مش بنتي كمالية اللي أنا بعرفها,Surprise,Surprise,Surprise,Surprise,Clear,Male,Tamin Abdo
videoplayback (101),1,SPEAKER_00,0,94.07534375,97.87221875,3.796875,videos/SPEAKER_00/SPEAKER_00_segment_0000.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0000.wav,لما لقيت الموضوع داخل في الكات وشفت ادها مقدمين نهاردة.,Sadness,Sadness,Sadness,Sadness,Clear,Female,Engy al mokdam 
videoplayback (101),2,SPEAKER_00,1,186.4659688,189.7059688,3.24,videos/SPEAKER_00/SPEAKER_00_segment_0001.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0001.wav,حاجات ما حسيتهاش من ايام انا ورشيد ما كنا بنحب,Sadness,Sadness,Sadness,Sadness,Clear,Female,Engy al mokdam 
videoplayback (101),3,SPEAKER_00,2,290.6522188,294.2803438,3.628125,videos/SPEAKER_00/SPEAKER_00_segment_0002.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0002.wav,طول الفترة اللي فاتت كنت بشحن نفسي اني بكرهه ,Sadness,Sadness,Sadness,Sadness,Clear,Female,Engy al mokdam 
videoplayback (102),0,SPEAKER_02,0,52.61346875,65.96159375,13.348125,videos/SPEAKER_02/SPEAKER_02_segment_0000.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0000.wav,ياسين لو صحي من النوم وما لقاش لمبة منوارة بيتفزع وبيفضل يومين ما بيعرفش ينام خالص ولو كل ملوخية بطنه بتكركب قوي وما بيحطش حاجة في بوقه بقية اليوم,Sadness,Sadness,Fear,Sadness,Clear,Female,Mona Zaki
videoplayback (102),1,SPEAKER_02,1,67.69971875,78.63471875,10.935,videos/SPEAKER_02/SPEAKER_02_segment_0001.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0001.wav,وهم حاجة عنده الكرة لأنه موهوب قوي فيها يعني لو ما فيش حتى فلوس نجيب لعب عادية زي بتاعت بقية العيال الكرة لازم لازم نجيبها,Fear,Sadness,Fear,Fear,Clear,Female,Mona Zaki
videoplayback (102),2,SPEAKER_02,2,83.29221875,91.71284375,8.420625,videos/SPEAKER_02/SPEAKER_02_segment_0002.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0002.wav,بتحتاج صبر يعني ومناهدة بعد كده بتنام عادي ما فيش حاجة بتهديلها المغص اللي في بطنها غير الكراوية اللي بعملها لها,Fear,Sadness,Fear,Fear,Clear,Female,Mona Zaki
videoplayback (102),3,SPEAKER_02,3,95.02034375,99.34034375,4.32,videos/SPEAKER_02/SPEAKER_02_segment_0003.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0003.wav,أنا مش عارفة أنا بقول الكلام ده ليه دلوقت ولا أقوله لمين يعني,Sadness,Sadness,Fear,Sadness,Clear,Female,Mona Zaki
videoplayback (102),4,SPEAKER_02,4,104.9765938,110.5284688,5.551875,videos/SPEAKER_02/SPEAKER_02_segment_0004.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0004.wav,فبقولوا كده يعني عشان تبقوا عارفين و تقولوا للي هياخد باله العيال,Sadness,Sadness,Sadness,Sadness,Clear,Female,Mona Zaki
videoplayback (102),5,SPEAKER_02,5,121.3790938,125.1084688,3.729375,videos/SPEAKER_02/SPEAKER_02_segment_0005.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0005.wav,ما كنتش عاملة حسابي ولا عمري فكرت في حاجة زي كده,Fear,Surprise,Sadness,Fear,Clear,Female,Mona Zaki
videoplayback (102),6,SPEAKER_02,6,135.3178438,140.0765938,4.75875,videos/SPEAKER_02/SPEAKER_02_segment_0006.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0006.wav,أنا بس قلت يعني للسياداتكم الحاجات دي عشان تعرفوها عشان من العيال,Sadness,Fear,Fear,Fear,Clear,Female,Mona Zaki
videoplayback (103),0,SPEAKER_00,0,133.3265938,137.0222188,3.695625,videos/SPEAKER_00/SPEAKER_00_segment_0000.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0000.wav,والمركب دي هي الحاجة الوحيدة اللي عادل سبالي أنا والعيال,Sadness,Fear,Sadness,Sadness,Clear,Female,Mona Zaki
videoplayback (103),1,SPEAKER_00,1,154.4540938,162.4865938,8.0325,videos/SPEAKER_00/SPEAKER_00_segment_0001.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0001.wav,أنا عمري ما اسامح نفسي أني كنت سبب في موت راجل طيب والله حبيته زي أبويا الله يرحمك يا عم ربيع,Sadness,Sadness,Sadness,Sadness,Clear,Female,Mona Zaki
videoplayback (103),3,SPEAKER_00,2,189.5878438,194.7347188,5.146875,videos/SPEAKER_00/SPEAKER_00_segment_0002.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0002.wav,واروح أبتدي في أي حتة من الأول وجديد بعيد  عن عمهم أنا مش عايزة حاجة,Sadness,Fear,Sadness,Sadness,Clear,Female,Mona Zaki
videoplayback (104),0,SPEAKER_05,0,131.7909688,137.8153438,6.024375,videos/SPEAKER_05/SPEAKER_05_segment_0000.mp4,audios/SPEAKER_05/SPEAKER_05_segment_0000.wav, انا مش فاهم انت ناوية تعمل فيها ايه تاني فلوسو مأخراها شمّا و جرستيني,Anger,Disgust,Anger,Anger,Clear,Male,actor but idk
videoplayback (104),1,SPEAKER_05,1,140.6165938,143.8903438,3.27375,videos/SPEAKER_05/SPEAKER_05_segment_0001.mp4,audios/SPEAKER_05/SPEAKER_05_segment_0001.wav,جالي راجل كده أمحاو وإيده تقيلة زي المرزبة,Disgust,Disgust,Anger,Disgust,Clear,Male,actor but idk
videoplayback (104),2,SPEAKER_05,2,163.4147188,167.4309688,4.01625,videos/SPEAKER_05/SPEAKER_05_segment_0002.mp4,audios/SPEAKER_05/SPEAKER_05_segment_0002.wav,بقولك ايه انا استحملتك كتير ومش هرجع في حلفان,Anger,Anger,Anger,Anger,Clear,Male,actor but idk
videoplayback (105),1,SPEAKER_02,1,70.24784375,74.19659375,3.94875,videos/SPEAKER_02/SPEAKER_02_segment_0001.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0001.wav,من غير سؤال يا حبيبي ده هو يتجنن عليك أصلاً بس قولي إنت فين و اجي اخدك؟,Fear,Fear,Fear,Fear,Clear,Male,Diab 
videoplayback (106),0,SPEAKER_00,0,189.0478438,193.8065938,4.75875,videos/SPEAKER_00/SPEAKER_00_segment_0000.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0000.wav,ما بفهم في الناس وانتي قداها ما تخليش خبطة وحدك تكسرك,Happiness,Anger,Happiness,Happiness,Clear,Male,"Roshdy El Shamy
"
videoplayback (106),1,SPEAKER_00,1,211.6940938,216.5034688,4.809375,videos/SPEAKER_00/SPEAKER_00_segment_0001.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0001.wav,اللي ملوش كبير بيشتريله كبير و اللي معوش فلوس يشتريلوا فلوس,Anger,Happiness,Anger,Anger,Clear,Male,Roshdy El Shamy
videoplayback (106),2,SPEAKER_02,0,217.0097188,220.1653438,3.155625,videos/SPEAKER_02/SPEAKER_02_segment_0000.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0000.wav,شكلك مزاجك رايق عمال تهرتل تقول اي كلام,Sadness,Amiguous,Sadness,Sadness,Clear,Female,Mona Zaki
videoplayback (107),0,SPEAKER_00,0,53.37284375,56.81534375,3.4425,videos/SPEAKER_00/SPEAKER_00_segment_0000.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0000.wav,بجحة لي مركبي وعايز اشغله عشان أأكل عيالي,Sadness,Sadness,Sadness,Sadness,Clear,Female,Mona Zaki
videoplayback (107),1,SPEAKER_00,1,79.61346875,85.87409375,6.260625,videos/SPEAKER_00/SPEAKER_00_segment_0001.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0001.wav,أقسم بالله العظيم وحياة ولادي إن أنا ببات في اوضة و اقفل على نفسي وانا في دور والرجالة في دور,Anger,Sadness,Sadness,Sadness,Clear,Female,Mona Zaki
videoplayback (107),2,SPEAKER_01,0,92.91096875,100.6903438,7.779375,videos/SPEAKER_01/SPEAKER_01_segment_0000.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0000.wav,هي خلاص عرفت أصول الشغل هنا وهتسيب المركب وترجع بيتها معززة مكرمة وإن كان على مين يشغل المركب فيحلها الحلال,Anger,Anger,Anger,Anger,Clear,Male,Diab
videoplayback (108),0,SPEAKER_01,0,5.75159375,10.42596875,4.674375,videos/SPEAKER_01/SPEAKER_01_segment_0000.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0000.wav,بل عكس ده بيت الام و ام عندها بنت,Happiness,Anger,Sadness,Happiness,Clear,Female,Hanan Sulieman
videoplayback (108),1,SPEAKER_01,1,11.69159375,24.49971875,12.808125,videos/SPEAKER_01/SPEAKER_01_segment_0001.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0001.wav,"رجالة ممكن تهب، تشتح، تتصرف، تصرف غلط لكن الأم هي اللي بتصبط ميزان البيت وأنا حبقى متطمنة على بيتي في وجودها عن ما تبقى لوحدها مع جوزها",Neutral,Neutral,Happiness,Neutral,Clear,Female,Hanan Sulieman
videoplayback (108),2,SPEAKER_03,0,41.52659375,46.85909375,5.3325,videos/SPEAKER_03/SPEAKER_03_segment_0000.mp4,audios/SPEAKER_03/SPEAKER_03_segment_0000.wav,وإحنا ناس بنفهم في الأصول زي ما عيشنا عليها مع أهلينا وعلمناها لعيالنا,Neutral,Neutral,Neutral,Neutral,Clear,Female,
videoplayback (108),3,SPEAKER_01,2,49.25534375,56.95034375,7.695,videos/SPEAKER_01/SPEAKER_01_segment_0002.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0002.wav,والأصول برضو عندكم بتقول إن الراجل يضرب مراته اللي شغالة وشقيانة مرعياه ومرعية بتها,Surprise,Anger,Surprise,Surprise,Clear,Female,Hanan Sulieman
videoplayback (108),4,SPEAKER_03,1,58.28346875,65.92784375,7.644375,videos/SPEAKER_03/SPEAKER_03_segment_0001.mp4,audios/SPEAKER_03/SPEAKER_03_segment_0001.wav,انت طول عمرك ست عاقلة بقى معقولة هتصدقي بنتك الصغيرة هي اش عرفها هي كانت عشرتنا,Anger,Anger,Anger,Anger,Clear,Female,
videoplayback (108),5,SPEAKER_01,3,77.70659375,86.02596875,8.319375,videos/SPEAKER_01/SPEAKER_01_segment_0003.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0003.wav,دي جدعة وتستحمل مش معنى أنها كانت ساكتة وما بتشتكيش تبقى كويسة ممكن قوي تكون شايلة في نفسها,Anger,Sadness,Sadness,Sadness,Clear,Female,Hanan Sulieman
videoplayback (109),4,SPEAKER_01,4,169.4728438,173.9615938,4.48875,videos/SPEAKER_01/SPEAKER_01_segment_0004.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0004.wav,شفت يا يابا اختها ما تعرفش هيا فين يعني دابت وزعلانة اوي اني بقول بنت الحرام,Anger,Anger,Anger,Anger,Clear,Male,Diab
videoplayback (109),6,SPEAKER_02,1,204.7753438,208.9772188,4.201875,videos/SPEAKER_02/SPEAKER_02_segment_0001.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0001.wav,خليك قاعد وانا هتصل بالبوليس واقول انك اتهجمت على البيت,Anger,Anger,Anger,Anger,Clear,Female,Maha Nasser
videoplayback (11),3,SPEAKER_00,0,193.9753438,199.0040938,5.02875,videos/SPEAKER_00/SPEAKER_00_segment_0000.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0000.wav,ما عملتليش محاضرة ليه؟ على طول بتعمل المحاضرة على طول يعني تعرف تعمل محاضرة,,Anger,,Anger,Clear,Male,
videoplayback (11),4,SPEAKER_02,1,204.4378438,212.8584688,8.420625,videos/SPEAKER_02/SPEAKER_02_segment_0001.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0001.wav,بالخلا مش عايزة بقى أحكي حصل إيه وجرى إيه والكلام ده كله أنا في إجاز أنا اتنزلت عن كل حاجة في سبيل ولادي,Anger,,,Anger,Clear,Female,
videoplayback (11),5,SPEAKER_00,1,213.4828438,216.6215938,3.13875,videos/SPEAKER_00/SPEAKER_00_segment_0001.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0001.wav,فين ولادي باعنا دلوقتي؟ يعني هي سابقة مع مين أصلاً دلوقتي؟,Anger,Fear,Anger,Anger,Clear,Male,
videoplayback (110),0,SPEAKER_02,0,28.39784375,31.46909375,3.07125,videos/SPEAKER_02/SPEAKER_02_segment_0000.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0000.wav,علاقتي بالمعيز  كويسة,Happiness,Happiness,Happiness,Happiness,Clear,Male,Ali Sobhy
videoplayback (110),1,SPEAKER_02,1,59.07659375,62.90721875,3.830625,videos/SPEAKER_02/SPEAKER_02_segment_0001.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0001.wav,أنا دخلت التمثيل بطريقة كده شوية صعبة شوية,Happiness,Sadness,Happiness,Happiness,Clear,Male,Ali Sobhy
videoplayback (110),10,SPEAKER_01,2,261.1715938,265.0022188,3.830625,videos/SPEAKER_01/SPEAKER_01_segment_0002.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0002.wav,بتبوخ نار بتبوخ نار ده فين انت في السرك فين بتبوخ نار,Surprise,Fear,Surprise,Surprise,Clear,Female,Essad Youniss
videoplayback (110),2,SPEAKER_02,2,66.29909375,70.87221875,4.573125,videos/SPEAKER_02/SPEAKER_02_segment_0002.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0002.wav,وعن مشاكل أهلي ومش عاجبني أي حاجة,Anger,Sadness,Neutral,Anger,Clear,Male,Ali Sobhy
videoplayback (110),3,SPEAKER_02,3,71.24346875,76.76159375,5.518125,videos/SPEAKER_02/SPEAKER_02_segment_0003.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0003.wav,فكنت يعني رافض أن أكمل تعليمي,Neutral,Anger,Neutral,Neutral,Clear,Male,Ali Sobhy
videoplayback (110),4,SPEAKER_02,4,84.96284375,89.24909375,4.28625,videos/SPEAKER_02/SPEAKER_02_segment_0004.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0004.wav,بيشتغل مخرج مسرح وعنده فرقة مسرح وكذا,Neutral,Happiness,Happiness,Happiness,Clear,Male,Ali Sobhy
videoplayback (110),5,SPEAKER_02,5,115.6078438,121.0584688,5.450625,videos/SPEAKER_02/SPEAKER_02_segment_0005.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0005.wav,وبعد رحيله عمل الفرقة اللي هي في ستوديو منصور محمد,Neutral,Happiness,Neutral,Neutral,Clear,Male,Ali Sobhy
videoplayback (110),6,SPEAKER_02,6,134.7947188,141.2915938,6.496875,videos/SPEAKER_02/SPEAKER_02_segment_0006.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0006.wav,فالحقيقة أنه انا رحت تفرجت عليهم وعجبتني الفكرة ودخلت المسرح ما خرجتش,Neutral,Happiness,Neutral,Neutral,Clear,Male,Ali Sobhy
videoplayback (110),7,SPEAKER_01,0,176.9315938,180.3909688,3.459375,videos/SPEAKER_01/SPEAKER_01_segment_0000.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0000.wav,اه انت لعبت حاجات كتير يعني,Happiness,Happiness,Happiness,Happiness,Clear,Female,Essad Youniss
videoplayback (110),9,SPEAKER_02,7,226.7803438,230.8134688,4.033125,videos/SPEAKER_02/SPEAKER_02_segment_0007.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0007.wav,اللي خلاني عملت فرقة اسمها أوطة حمراء وهو اكتشافي للكلاون المهرج,Neutral,Happiness,Happiness,Happiness,Clear,Male,Ali Sobhy
videoplayback (12),0,SPEAKER_00,0,6.61221875,16.36596875,9.75375,videos/SPEAKER_00/SPEAKER_00_segment_0000.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0000.wav,أي حاجة عنده أعرفش خالص نهائي وبعدين أنا ما فكرتش إنه هتسأل عليها عشان هو برضو سيء للغاية,Sadness,Surprise,Sadness,Sadness,Clear,Female,
videoplayback (12),1,SPEAKER_02,0,17.44596875,23.82471875,6.37875,videos/SPEAKER_02/SPEAKER_02_segment_0000.mp4,audios/SPEAKER_02/SPEAKER_02_segment_0000.wav,يعني حضرتك.. ايوة بس دول بناته وبعدين انت بتتنازلي عن حق ببناتك ليه؟,Surprise,Surprise,Anger,Surprise,Clear,Female,radwa elsherbiny 
videoplayback (12),2,SPEAKER_00,1,46.06596875,69.13409375,23.068125,videos/SPEAKER_00/SPEAKER_00_segment_0001.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0001.wav,كان ابويا بقى يعني ابويا عمل حدثة يعني ود العفش بتاعي وبعد كده عمل حدثة عربية خبطته مات ما حدس سأل بقى ما حدس سأل مات قبل الجواز؟ مات قبل الجواز بيومين وعمامي بقى جوزوني على الاربعين على الستة وثلاثين جوزوني بالزبط فما سألناش بقى خلاص يعني ابويا ودا عفشي,Sadness,Sadness,,Sadness,Clear,Female,common 
